timestamp,method,table,total_calls,minute_calls,hour_calls
2025-09-27T23:39:59.926735,SELECT,kpi_price_data,1,1,1
2025-09-27T23:40:00.427915,INSERT,kpi_price_data,2,2,2
2025-09-27T23:40:01.766292,INSERT,kpi_price_data,3,3,3
2025-09-27T23:40:02.244004,INSERT,kpi_price_data,4,4,4
2025-09-27T23:40:02.656797,INSERT,kpi_price_data,5,5,5
2025-09-27T23:40:03.077046,INSERT,kpi_price_data,6,6,6
2025-09-27T23:40:03.484926,INSERT,kpi_price_data,7,7,7
2025-09-27T23:40:03.887732,INSERT,kpi_price_data,8,8,8
2025-09-27T23:40:04.269150,INSERT,kpi_price_data,9,9,9
2025-09-27T23:40:04.659215,INSERT,kpi_price_data,10,10,10
2025-09-27T23:40:05.045695,INSERT,kpi_price_data,11,11,11
2025-09-27T23:40:05.444592,INSERT,kpi_price_data,12,12,12
2025-09-27T23:40:05.837173,INSERT,kpi_price_data,13,13,13
2025-09-27T23:40:06.221301,INSERT,kpi_price_data,14,14,14
2025-09-27T23:40:06.608199,INSERT,kpi_price_data,15,15,15
2025-09-27T23:40:07.009204,INSERT,kpi_price_data,16,16,16
2025-09-27T23:40:07.425338,INSERT,kpi_price_data,17,17,17
2025-09-27T23:40:07.824108,INSERT,kpi_price_data,18,18,18
2025-09-27T23:40:08.185840,INSERT,kpi_price_data,19,19,19
2025-09-27T23:40:08.529562,INSERT,kpi_price_data,20,20,20
2025-09-27T23:40:08.892835,INSERT,kpi_price_data,21,21,21
2025-09-27T23:40:09.277590,INSERT,kpi_price_data,22,22,22
2025-09-27T23:40:09.676408,INSERT,kpi_price_data,23,23,23
2025-09-27T23:40:10.051380,INSERT,kpi_price_data,24,24,24
2025-09-27T23:40:10.426448,INSERT,kpi_price_data,25,25,25
2025-09-27T23:40:10.794702,INSERT,kpi_price_data,26,26,26
2025-09-27T23:40:11.169076,INSERT,kpi_price_data,27,27,27
2025-09-27T23:40:11.548147,INSERT,kpi_price_data,28,28,28
2025-09-27T23:40:11.912426,INSERT,kpi_price_data,29,29,29
2025-09-27T23:40:12.278461,INSERT,kpi_price_data,30,30,30
2025-09-27T23:40:12.671493,INSERT,kpi_price_data,31,31,31
2025-09-27T23:40:13.039284,INSERT,kpi_price_data,32,32,32
2025-09-27T23:40:13.439074,INSERT,kpi_price_data,33,33,33
2025-09-27T23:40:13.809338,INSERT,kpi_price_data,34,34,34
2025-09-27T23:40:14.170299,INSERT,kpi_price_data,35,35,35
2025-09-27T23:40:14.526240,INSERT,kpi_price_data,36,36,36
2025-09-27T23:40:14.877065,INSERT,kpi_price_data,37,37,37
2025-09-27T23:40:15.232507,INSERT,kpi_price_data,38,38,38
2025-09-27T23:40:15.593430,INSERT,kpi_price_data,39,39,39
2025-09-27T23:40:15.945631,INSERT,kpi_price_data,40,40,40
2025-09-27T23:40:16.309615,INSERT,kpi_price_data,41,41,41
2025-09-27T23:40:16.706550,INSERT,kpi_price_data,42,42,42
2025-09-27T23:40:17.060265,INSERT,kpi_price_data,43,43,43
2025-09-27T23:40:17.426401,INSERT,kpi_price_data,44,44,44
2025-09-27T23:40:17.799003,INSERT,kpi_price_data,45,45,45
2025-09-27T23:40:18.170344,INSERT,kpi_price_data,46,46,46
2025-09-27T23:42:36.749651,SELECT,kpi_price_data,47,1,47
2025-09-27T23:42:37.252259,INSERT,kpi_price_data,48,2,48
2025-09-27T23:42:38.166840,INSERT,kpi_price_data,49,3,49
2025-09-27T23:42:38.671947,INSERT,kpi_price_data,50,4,50
2025-09-27T23:42:39.121692,INSERT,kpi_price_data,51,5,51
2025-09-27T23:42:47.728208,SELECT,kpi_price_data,52,6,52
2025-09-27T23:42:47.934515,INSERT,kpi_price_data,53,7,53
2025-09-27T23:42:48.532967,INSERT,kpi_price_data,54,8,54
2025-09-27T23:42:48.902112,INSERT,kpi_price_data,55,9,55
2025-09-27T23:42:49.248455,INSERT,kpi_price_data,56,10,56
2025-09-27T23:42:49.579113,INSERT,kpi_price_data,57,11,57
2025-09-27T23:43:33.510845,SELECT,kpi_price_data,58,12,58
2025-09-27T23:43:33.816270,INSERT,kpi_price_data,59,13,59
2025-09-27T23:43:34.465834,INSERT,kpi_price_data,60,14,60
2025-09-27T23:43:34.986171,INSERT,kpi_price_data,61,15,61
2025-09-27T23:43:35.324945,INSERT,kpi_price_data,62,16,62
2025-09-27T23:43:35.851125,INSERT,kpi_price_data,63,17,63
2025-09-27T23:43:36.377278,INSERT,kpi_price_data,64,18,64
2025-09-27T23:43:36.668479,INSERT,kpi_price_data,65,19,65
2025-09-27T23:43:39.969357,SELECT,kpi_price_data,66,15,66
2025-09-27T23:43:40.142047,INSERT,kpi_price_data,67,16,67
2025-09-27T23:43:40.433050,INSERT,kpi_price_data,68,17,68
2025-09-27T23:43:40.729102,INSERT,kpi_price_data,69,18,69
2025-09-27T23:43:41.241454,INSERT,kpi_price_data,70,19,70
2025-09-27T23:43:41.737186,INSERT,kpi_price_data,71,20,71
2025-09-27T23:43:42.027803,INSERT,kpi_price_data,72,21,72
2025-09-27T23:43:42.341880,INSERT,kpi_price_data,73,22,73
2025-09-27T23:45:46.461501,SELECT,kpi_price_data,74,1,74
2025-09-27T23:45:46.781151,INSERT,kpi_price_data,75,2,75
2025-09-27T23:45:47.885114,INSERT,kpi_price_data,76,3,76
2025-09-27T23:45:48.461169,INSERT,kpi_price_data,77,4,77
2025-09-27T23:47:31.774503,SELECT,kpi_price_data,78,1,78
2025-09-27T23:47:32.093307,INSERT,kpi_price_data,79,2,79
2025-09-27T23:47:32.531127,INSERT,kpi_price_data,80,3,80
2025-09-27T23:47:32.875014,INSERT,kpi_price_data,81,4,81
