ID,Major Category,Middle Category,Sub Category,Specification,Unit,Region,Date,Price,Detail Spec,Created At,Updated At
3468926,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대구,2021-04-01,25670,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468927,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대전,2021-04-01,25910,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468928,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,광주,2021-04-01,26160,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468929,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,강원,2021-04-01,25910,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468930,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,제주,2021-04-01,26650,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468931,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,서울,2021-05-01,24450,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468932,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,인천,2021-05-01,24450,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468933,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,부산,2021-05-01,25180,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468934,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대구,2021-05-01,25670,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468935,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대전,2021-05-01,25910,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468936,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,광주,2021-05-01,26160,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468937,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,강원,2021-05-01,25910,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468938,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,제주,2021-05-01,26650,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468939,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,서울,2021-06-01,28400,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468940,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,인천,2021-06-01,28400,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468941,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,부산,2021-06-01,29250,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468942,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대구,2021-06-01,29820,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468943,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,대전,2021-06-01,30100,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468944,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,광주,2021-06-01,30380,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468945,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,강원,2021-06-01,28110,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468946,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,제주,2021-06-01,30950,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468947,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,서울,2021-07-01,28400,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
3468948,급배수,배관재(Ⅱ),경질염화비닐관(PVC파이프),"경질염화비닐관(일반용배수관)-VG1 (두꺼운 관) - VN SDR 17 호칭경75㎜, 외경89㎜, 두께5.2(최소)㎜, 중량8,808g/본",본,인천,2021-07-01,28400,,2025-11-21T20:52:17.285467+00:00,2025-11-21T20:52:17.285467+00:00
